Date : 2025-03-03 12:40:45
Directory : c:\Users\Administrator\open-webui\backend
Total : 162 files,  113967 codes, 1776 comments, 6900 blanks, all 122643 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| c:\Users\Administrator\open-webui\backend\open_webui\internal\migrations\002_add_local_sharing.py                     | Python           |         34 |          0 |         15 |         49 |
| c:\Users\Administrator\open-webui\backend\open_webui\internal\migrations\003_add_auth_api_key.py                      | Python           |         34 |          0 |         15 |         49 |
| c:\Users\Administrator\open-webui\backend\open_webui\internal\migrations\004_add_archived.py                          | Python           |         32 |          0 |         15 |         47 |
| c:\Users\Administrator\open-webui\backend\open_webui\internal\migrations\005_add_updated_at.py                        | Python           |         78 |         18 |         35 |        131 |
| c:\Users\Administrator\open-webui\backend\open_webui\internal\migrations\006_migrate_timestamps_and_charfields.py     | Python           |        113 |          3 |         15 |        131 |
| c:\Users\Administrator\open-webui\backend\open_webui\internal\migrations\007_add_user_last_active_at.py               | Python           |         50 |          9 |         21 |         80 |
| c:\Users\Administrator\open-webui\backend\open_webui\internal\migrations\008_add_memory.py                            | Python           |         39 |          0 |         15 |         54 |
| c:\Users\Administrator\open-webui\backend\open_webui\internal\migrations\009_add_models.py                            | Python           |         43 |          0 |         19 |         62 |
| c:\Users\Administrator\open-webui\backend\open_webui\internal\migrations\010_migrate_modelfiles_to_models.py          | Python           |         95 |          6 |         30 |        131 |
| c:\Users\Administrator\open-webui\backend\open_webui\internal\migrations\011_add_user_settings.py                     | Python           |         32 |          2 |         15 |         49 |
| c:\Users\Administrator\open-webui\backend\open_webui\internal\migrations\012_add_tools.py                             | Python           |         43 |          0 |         19 |         62 |
| c:\Users\Administrator\open-webui\backend\open_webui\internal\migrations\013_add_user_info.py                         | Python           |         32 |          2 |         15 |         49 |
| c:\Users\Administrator\open-webui\backend\open_webui\internal\migrations\014_add_files.py                             | Python           |         40 |          0 |         16 |         56 |
| c:\Users\Administrator\open-webui\backend\open_webui\internal\migrations\015_add_functions.py                         | Python           |         43 |          0 |         19 |         62 |
| c:\Users\Administrator\open-webui\backend\open_webui\internal\migrations\016_add_valves_and_is_active.py              | Python           |         36 |          0 |         15 |         51 |
| c:\Users\Administrator\open-webui\backend\open_webui\internal\migrations\017_add_user_oauth_sub.py                    | Python           |         35 |          0 |         11 |         46 |
| c:\Users\Administrator\open-webui\backend\open_webui\internal\migrations\018_add_function_is_global.py                | Python           |         35 |          0 |         15 |         50 |
| c:\Users\Administrator\open-webui\backend\open_webui\internal\wrappers.py                                             | Python           |         45 |          6 |         16 |         67 |
| c:\Users\Administrator\open-webui\backend\open_webui\main.py                                                          | Python           |      1,061 |         97 |        227 |      1,385 |
| c:\Users\Administrator\open-webui\backend\open_webui\migrations\env.py                                                | Python           |         48 |         12 |         22 |         82 |
| c:\Users\Administrator\open-webui\backend\open_webui\migrations\util.py                                               | Python           |         10 |          0 |          6 |         16 |
| c:\Users\Administrator\open-webui\backend\open_webui\migrations\versions\1af9b942657b_migrate_tags.py                 | Python           |        103 |         20 |         29 |        152 |
| c:\Users\Administrator\open-webui\backend\open_webui\migrations\versions\242a2047eae0_update_chat_table.py            | Python           |         73 |         11 |         24 |        108 |
| c:\Users\Administrator\open-webui\backend\open_webui\migrations\versions\3781e22d8b01_update_message_table.py         | Python           |         56 |          3 |         12 |         71 |
| c:\Users\Administrator\open-webui\backend\open_webui\migrations\versions\3ab32c4b8f59_update_tags.py                  | Python           |         54 |          8 |         20 |         82 |
| c:\Users\Administrator\open-webui\backend\open_webui\migrations\versions\4ace53fd72c8_update_folder_table_datetime.py | Python           |         52 |          5 |         11 |         68 |
| c:\Users\Administrator\open-webui\backend\open_webui\migrations\versions\57c599a3cb57_add_channel_table.py            | Python           |         38 |          0 |         11 |         49 |
| c:\Users\Administrator\open-webui\backend\open_webui\migrations\versions\6a39f3d8e55c_add_knowledge_table.py          | Python           |         64 |          4 |         13 |         81 |
| c:\Users\Administrator\open-webui\backend\open_webui\migrations\versions\7826ab40b532_update_file_table.py            | Python           |         18 |          0 |          9 |         27 |
| c:\Users\Administrator\open-webui\backend\open_webui\migrations\versions\7e5b5dc7342b_init.py                         | Python           |        177 |          5 |         23 |        205 |
| c:\Users\Administrator\open-webui\backend\open_webui\migrations\versions\922e7a387820_add_group_table.py              | Python           |         57 |         10 |         19 |         86 |
| c:\Users\Administrator\open-webui\backend\open_webui\migrations\versions\af906e964978_add_feedback_table.py           | Python           |         40 |          3 |          9 |         52 |
| c:\Users\Administrator\open-webui\backend\open_webui\migrations\versions\c0fbf31ca0db_update_file_table.py            | Python           |         20 |          3 |         10 |         33 |
| c:\Users\Administrator\open-webui\backend\open_webui\migrations\versions\c29facfe716b_update_file_table_path.py       | Python           |         48 |         14 |         18 |         80 |
| c:\Users\Administrator\open-webui\backend\open_webui\migrations\versions\c69f45358db4_add_folder_table.py             | Python           |         40 |          0 |         11 |         51 |
| c:\Users\Administrator\open-webui\backend\open_webui\migrations\versions\ca81bd47c050_add_config_table.py             | Python           |         31 |          1 |         10 |         42 |
| c:\Users\Administrator\open-webui\backend\open_webui\models\auths.py                                                  | Python           |        148 |          8 |         51 |        207 |
| c:\Users\Administrator\open-webui\backend\open_webui\models\channels.py                                               | Python           |         98 |          6 |         33 |        137 |
| c:\Users\Administrator\open-webui\backend\open_webui\models\chats.py                                                  | Python           |        733 |         30 |        150 |        913 |
| c:\Users\Administrator\open-webui\backend\open_webui\models\feedbacks.py                                              | Python           |        205 |          6 |         44 |        255 |
| c:\Users\Administrator\open-webui\backend\open_webui\models\files.py                                                  | Python           |        179 |          6 |         51 |        236 |
| c:\Users\Administrator\open-webui\backend\open_webui\models\folders.py                                                | Python           |        210 |          9 |         53 |        272 |
| c:\Users\Administrator\open-webui\backend\open_webui\models\functions.py                                              | Python           |        222 |          9 |         44 |        275 |
| c:\Users\Administrator\open-webui\backend\open_webui\models\groups.py                                                 | Python           |        160 |          6 |         46 |        212 |
| c:\Users\Administrator\open-webui\backend\open_webui\models\knowledge.py                                              | Python           |        156 |         21 |         45 |        222 |
| c:\Users\Administrator\open-webui\backend\open_webui\models\memories.py                                               | Python           |        105 |          6 |         27 |        138 |
